217 3
-46 14 -31
1 28 -22
-19 -32 7
10 -44 6
42 -20 -40
9 14 6
-9 48 -6
48 -29 36
25 3 -37
-41 36 -22
13 46 39
1 -38 13
-2 11 -16
-33 -22 -39
-42 35 -8
33 -44 21
34 -37 -40
-33 10 37
8 -27 43
-17 -4 22
32 -35 6
-24 23 15
25 -11 31
26 6 47
3 11 -6
44 45 39
16 -11 -7
45 15 -16
8 50 5
17 42 -7
48 12 39
42 -12 7
-26 -4 14
-28 14 -8
27 35 22
-21 45 -31
-41 9 18
34 27 -40
36 -29 -30
2 36 38
41 36 39
25 43 21
50 -11 -21
1 34 43
41 -19 -38
17 19 -45
9 -37 -16
8 -13 7
-5 -39 46
-50 49 -11
16 8 32
-36 -22 -39
-1 -9 2
24 -41 40
33 -12 -8
25 -21 7
12 38 6
17 -38 14
-49 -13 -24
26 -28 31
32 -27 -5
-35 -14 39
-34 2 -11
9 35 -4
17 -44 38
-9 -13 30
2 5 30
24 33 38
-41 -26 18
33 18 21
-25 47 -40
8 48 -40
24 -5 30
-49 -26 22
13 -38 15
16 2 -8
48 -26 14
24 -2 -37
-28 37 -6
3 13 -16
42 -19 -4
14 -8 -48
32 -17 -44
-33 -10 -8
42 28 47
-25 45 -16
-34 36 -14
4 -31 -7
-45 37 13
-26 30 -48
17 37 7
-41 -27 -12
-1 -10 37
10 -21 28
-27 38 14
-30 7 -24
8 -26 -40
-3 2 -45
-49 -28 13
2 7 47
27 -47 -8
37 -15 6
16 -33 -29
-5 -38 -22
6 -32 7
16 -35 19
-33 36 37
-11 21 -40
33 -34 -43
35 5 -40
-50 34 38
17 30 6
16 -33 3
-33 19 29
43 -45 -39
-25 43 20
26 -44 -20
16 37 21
-2 11 -12
49 9 -6
-36 12 46
11 12 -45
32 -20 31
-18 2 34
-49 -30 5
-2 -43 23
-27 13 -31
34 -13 29
-12 19 15
11 -22 29
17 -27 -39
11 -22 31
-18 -28 44
44 -38 7
33 -42 -46
-29 13 -48
24 -46 30
-29 -7 -32
-19 -21 14
33 1 -19
43 -44 11
4 -48 7
-17 -11 21
9 35 -7
-41 -14 -46
-2 -6 -15
-18 28 20
19 27 14
-37 38 -8
40 8 23
-9 5 39
32 -20 46
26 -46 7
10 37 -31
-36 19 11
9 -6 -15
24 -19 2
-5 -6 39
-46 31 23
-43 18 13
-34 -19 39
-2 -3 -22
-13 -7 -48
-43 -4 28
-6 13 -7
-9 -28 -31
-12 -31 7
-18 26 -29
-28 29 -16
-17 -49 47
38 46 15
-4 -12 -31
40 -27 -14
16 24 36
-26 50 -45
-41 -34 36
-5 29 15
25 -27 20
17 39 -32
21 -30 -31
-27 -3 -38
-3 -28 -14
20 -23 -24
43 -45 -46
-10 27 22
8 -25 30
2 -43 -5
-19 -12 14
-3 4 21
16 8 10
-17 -2 -7
-34 12 23
48 -4 -23
48 -34 11
-49 45 30
48 42 -43
-34 -22 37
-34 25 -40
-21 20 -24
-10 -19 -5
-45 44 21
44 21 5
-41 24 -20
5 -39 -32
-1 42 46
-2 -47 -15
-43 14 -24
24 -10 42
-42 26 -6
19 -29 31
-25 18 -22
-2 29 -15
48 33 -30
36 14 -40
18 43 -5
34 11 44
-26 41 -8
